url,type_bien,quartier,surface,prix_total,prix_m2_final,date_publication,agence
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/citya-immobilier-41039H-TAPP966009?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Champs-de-Mars,22.0,79900,3632.0,2026-02-23,Citya Estublier
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2017196?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Aguillon,45.0,147500,3278.0,2026-02-21,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-bretteimmobilieranne-16796?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D2%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Sainte-Anne,78.0,263750,3211.0,2026-02-20,BRETTE IMMOBILIER
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-bretteimmobilieranne-19826?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Bon Rencontre,89.0,170000,1776.0,2026-01-30,BRETTE IMMOBILIER
https://www.bienici.com/annonce/vente/toulon/maison/4pieces/hektor-atlasimmobilier-390224?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Maison,Ubac - Dardennes - Barbasse - Mont Faron,81.0,329000,4062.0,2026-01-29,AGENCE ATLAS IBOX
https://www.bienici.com/annonce/vente/toulon/maison/15pieces/century-21-202_2305_3539?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Maison,Valbertrand,328.0,840000,2561.0,2026-01-29,CENTURY 21 Ouest Immo
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1991752?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Font Pré,60.0,185000,3083.0,2026-01-26,
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1985099?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Le Mourillon - La Mitre - Fort Lamalgue,24.0,119000,4958.0,2026-01-26,
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1992620?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Corniche du Faron,53.0,192000,3623.0,2026-01-25,
https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1993749?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D4%26camera%3D8_4.5866739_43.1085545_0_0,Appartement,Le Mourillon - La Mitre - Fort Lamalgue,17.0,112000,6588.0,2026-01-23,
