type_bien,quartier,surface_m2,prix_vente,prix_m2,url
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,75.0,480000,6400.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag311656-514769414?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Aguillon,84.0,270000,3214.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/apimo-86749154?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Valbertrand,65.0,185000,2846.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2016673?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Pont du Las,54.0,115000,2130.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2016080?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Saint-Roch,62.0,155500,2508.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2016359?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Quartier inconnu,70.0,159900,2284.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939432601?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,L'Escaillon,92.0,265000,2880.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-atlasimmobilier-390510?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Aguillon,68.0,256250,3768.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-1463_EXPERTIMO22-268715?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D34
Appartement,Pont du Las,53.0,149000,2811.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-fontpre-366222?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Maison,Ubac - Dardennes - Barbasse - Mont Faron,160.0,625000,3906.0,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/hektor-happy051017-2248?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Darboussèdes,56.0,129000,2304.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-grechimmo83250-95480?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,La Serinette - La Barre,40.0,200000,5000.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-mourillon-133373?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Champs-de-Mars,130.0,371000,2854.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/hektor-centreville-128208?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,La Serinette - La Barre,80.0,258000,3225.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/safti-1-1615125?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Pont du Las,65.0,209000,3215.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/immo-facile-60158692?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,121.0,665000,5496.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/dr-house-immo-1-6133325?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Maison,La Chapelle - Saint-André,82.0,520000,6341.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/ag440414-516981647?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Champs-de-Mars,65.0,125000,1923.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP954862A?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Pont de Suve,69.0,179000,2594.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag311656-516895547?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,La Rode,61.0,145000,2377.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-2247_EXPERTIMO22-266652?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Saint-Roch,40.0,229000,5725.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-2247_EXPERTIMO22-271249?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Saint-Roch,65.0,160000,2462.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-lessablettes-390442?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Maison,L'Escaillon,100.0,459000,4590.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/ag440414-516800714?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Maison,La Chapelle - Saint-André,102.0,630000,6176.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/ag440414-516800717?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
Appartement,Centre-ville,52.0,124000,2385.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/ag835636-516642044?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D33
