type_bien,quartier,surface_m2,prix_vente,prix_m2,url
Appartement,Saint-Jean du Var,99.0,250000,2525.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1918542?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Centre-ville,83.0,180000,2169.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag340369-491627366?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,La Palasse,58.0,289000,4983.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1917551?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Darboussèdes,62.0,148000,2387.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-fontpre-387896?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Saint-Jean du Var,41.0,144000,3512.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/citya-immobilier-41039H-TAPP956331?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Valbertrand,39.0,170119,4362.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1914296?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Pont de Bois,60.0,173000,2883.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939326125?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Saint-Jean du Var,67.0,154000,2299.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/mgc-ancien-SNI_0000_185308?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Pont du Las,66.0,164000,2485.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-505180-3710?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Maison,Sainte-Anne,150.0,770000,5133.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-bretteimmobilieranne-19313?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Maison,Sainte-Anne,110.0,320000,2909.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/nestenn-1-99939319275?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,Saint-Roch,87.0,226000,2598.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-bretteimmobilieranne-19339?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D30
Appartement,La Serinette - La Barre,113.0,369000,3265.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1942353?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,La Palasse,58.0,290000,5000.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1944369?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,La Palasse,71.0,434000,6113.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1944363?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Place d'Armes,44.0,275000,6250.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/legget-PRO4YJAJC3KD?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Maison,La Chapelle - Saint-André,57.0,349000,6123.0,https://www.bienici.com/annonce/vente/toulon/maison/3pieces/hektor-bretteimmobilieranne-19523?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Maison,Beaulieu,136.0,668000,4912.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-fontpre-388394?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Saint-Jean du Var,47.0,125000,2660.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-fontpre-388316?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Maison,La Palasse,90.0,420000,4667.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-1938269?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Centre-ville,68.0,120000,1765.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag832778-495182924?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Valbourdin,74.0,316000,4270.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-ECHAPPEE-HYERES-86149?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Pont de Bois,55.0,140000,2545.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag340369-495689087?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Saint-Roch,42.0,99000,2357.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-lessablettes-388153?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Haute-ville,152.0,550000,3618.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/laforet-immo-facile-52360735?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,La Rode,93.0,299000,3215.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/netty-company38777ezz-appt-5338?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Saint-Jean du Var,22.0,74000,3364.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/hektor-2_GRECHTOULON2023-112994?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Saint-Jean du Var,22.0,74000,3364.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/hektor-grechimmo83000-112994?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Pont du Las,50.0,119000,2380.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/nestenn-1-99939344149?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Maison,Le Cap Brun - Le Petit Bois,186.0,960000,5161.0,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/iad-france-1935070?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Maison,La Serinette - La Barre,137.0,549000,4007.0,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/twimmo-2089656?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,La Serinette - La Barre,97.0,465000,4794.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag340369-494854937?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Maison,La Chapelle - Saint-André,80.0,337000,4212.0,https://www.bienici.com/annonce/vente/toulon/maison/3pieces/hektor-lessablettes-388204?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Saint-Roch,51.0,124000,2431.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-mourillon-388222?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Haute-ville,86.0,295000,3430.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-centreville-388170?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,Beaulieu,64.0,135000,2109.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-fontpre-388146?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D29
Appartement,La Loubière,74.0,235000,3176.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1963347?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,La Rode,63.0,192000,3048.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-mourillon-389578?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Pont de Bois,81.0,189000,2333.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-1960426?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Saint-Roch,31.0,105000,3387.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1960617?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Autre bien,Saint-Roch,20.0,67000,3350.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/century-21-202_2305_3510?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Pont du Las,62.0,177000,2855.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939363549?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Le Port,74.0,299000,4041.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939361331?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,54.0,169000,3130.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1959887?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Aguillon,82.0,199500,2433.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag920856-500617394?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,49.0,234300,4782.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/century-21-202_3648_759?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Pont du Las,62.0,169000,2726.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/nestenn-1-99939358326?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Rodeilhac,50.0,117000,2340.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/nestenn-1-99939356395?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Pont du Las,49.0,90000,1837.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1947676?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Maison,Ubac - Dardennes - Barbasse - Mont Faron,99.0,290000,2929.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/ag311656-496805780?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Porte d'Italie,20.0,57500,2875.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/ag755959-499522796?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Maison,Siblas,215.0,1160000,5395.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-2_GRECHTOULON2023-112897?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Maison,Siblas,215.0,1160000,5395.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-grechimmo83000-112897?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,La Chapelle - Saint-André,69.0,229000,3319.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1948624?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Claret,78.0,175000,2244.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-bretteimmobilieranne-16698?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Darboussèdes,56.0,260000,4643.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1949027?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,78.0,255000,3269.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1944946?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Saint-Jean du Var,19.0,35000,1842.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/ag311656-497608130?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Le Cap Brun - Le Petit Bois,100.0,530000,5300.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-adlc1000-43710?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,Haute-ville,51.0,128000,2510.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1943750?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D28
Appartement,La Serinette - La Barre,82.0,274000,3341.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-1973860?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Maison,Pont du Las,245.0,363000,1482.0,https://www.bienici.com/annonce/vente/toulon/maison/10pieces/hektor-art-immo-13?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Maison,Ubac - Dardennes - Barbasse - Mont Faron,130.0,589000,4531.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-mourillon-389901?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Maison,La Chapelle - Saint-André,220.0,740000,3364.0,https://www.bienici.com/annonce/vente-de-prestige/toulon/maison/7pieces/netty-company54396zsr-house-7244?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Valbourdin,44.0,125000,2841.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-sixfours-389590?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,97.0,398000,4103.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-1974611?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Corniche du Faron,75.0,360000,4800.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/netty-company54396zsr-appt-31516?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Haute-ville,49.0,199500,4071.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-gustonimmobilier-5252?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Place d'Armes,35.0,120000,3429.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-centreville-389500?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Place d'Armes,40.0,124000,3100.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/hektor-centreville-389638?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Porte d'Italie,86.0,438000,5093.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-mtev13600-8439?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Centre-ville,57.0,110000,1930.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/nestenn-1-99939382036?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Pont de Bois,70.0,189000,2700.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-mourillon-389698?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Maison,Aguillon,130.0,467000,3592.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1966211?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Champs-de-Mars,72.0,199000,2764.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP962627?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Maison,Darboussèdes,170.0,890000,5235.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/immo-facile-59665486?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Champs-de-Mars,58.0,169900,2929.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/hektor-mourillon-389643?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Barbès,62.0,172800,2787.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/gedeon-32297997?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Pont du Las,40.0,95000,2375.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1967728?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Pont du Las,42.0,76000,1810.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/safti-1-1572152?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Saint-Jean du Var,66.0,120000,1818.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-17_victoriametropole2025-14503?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Maison,Le Cap Brun - Le Petit Bois,145.0,925000,6379.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1963985?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Les Lices,73.0,210000,2877.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP947414AAA?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,L'Escaillon,42.0,130000,3095.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/century-21-202_2305_3513?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D27
Appartement,Saint-Roch,110.0,359000,3264.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1987726?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Haute-ville,58.0,127000,2190.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/century-21-202_2305_3531?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,Pont de Bois,148.0,430000,2905.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/century-21-202_2305_3534?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Pont du Las,53.0,127000,2396.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/twimmo-2120171?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Centre-ville,25.0,78000,3120.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/hektor-lpaimmo-27292?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,Ubac - Dardennes - Barbasse - Mont Faron,150.0,618000,4120.0,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/ag922880-507997076?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,La Serinette - La Barre,127.0,660000,5197.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-igprestige-813?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Saint-Roch,61.0,200000,3279.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/dr-house-immo-1-4128150?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Valbourdin,63.0,220000,3492.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/dr-house-immo-1-4122218?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,La Rode,93.0,298000,3204.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/citya-immobilier-41039H-TAPP960728AA?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Centre-ville,71.0,214000,3014.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_2305_3528?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,La Chapelle - Saint-André,156.0,830000,5321.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-1980069?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,La Rode,103.0,299900,2912.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/hektor-mourillon-389987?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,Valbertrand,90.0,318000,3533.0,https://www.bienici.com/annonce/vente/toulon/maison/3pieces/apimo-86636701?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,La Serinette - La Barre,47.0,164000,3489.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1981210?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,Le Mourillon - La Mitre - Fort Lamalgue,120.0,880000,7333.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/iad-france-1980650?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Centre-ville,144.0,530000,3681.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1975792?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Bon Rencontre,51.0,117000,2294.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/dr-house-immo-1-482762?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,La Loubière,153.0,522000,3412.0,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/ag920856-506287148?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,Valbertrand,67.0,365000,5448.0,https://www.bienici.com/annonce/vente/toulon/maison/3pieces/iad-france-1979095?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Valbourdin,85.0,325000,3824.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1976849?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,Siblas,70.0,349000,4986.0,https://www.bienici.com/annonce/vente/toulon/maison/3pieces/iad-france-1973872?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,Le Mourillon - La Mitre - Fort Lamalgue,120.0,780000,6500.0,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/hektor-agencemistral83-179?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Appartement,Beaulieu,81.0,369000,4556.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1975774?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D26
Maison,Les Ameniers,165.0,920000,5576.0,https://www.bienici.com/annonce/vente/toulon/maison/6pieces/immo-facile-59846147?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,La Serinette - La Barre,77.0,229000,2974.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag920856-510380360?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Maison,Le Cap Brun - Le Petit Bois,185.0,960000,5189.0,https://www.bienici.com/annonce/vente/toulon/maison/9pieces/immo-facile-59842047?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Maison,La Serinette - La Barre,223.0,939000,4211.0,https://www.bienici.com/annonce/vente/toulon/maison/8pieces/ag832778-510348404?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Saint-Roch,47.0,105000,2234.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1989011?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Saint-Roch,22.0,115000,5227.0,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/iad-france-1992481?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Pont du Las,62.0,148000,2387.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1993178?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Saint-Roch,51.0,143000,2804.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-gravier11-314?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Haute-ville,48.0,110000,2292.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/laforet-immo-facile-52392290?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Saint-Roch,47.0,119000,2532.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-18_victoriametropole2025-15335?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Haute-ville,152.0,479000,3151.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/apimo-86590496?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,La Serinette - La Barre,38.0,155000,4079.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1993390?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Darboussèdes,43.0,120000,2791.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1966522?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Darboussèdes,69.0,210000,3043.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1966519?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Centre-ville,96.0,282000,2938.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/iad-france-1991597?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Pont de Bois,63.0,169000,2683.0,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1986292?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Maison,La Palasse,110.0,265000,2409.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-1989451?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Maison,Le Mourillon - La Mitre - Fort Lamalgue,138.0,750000,5435.0,https://www.bienici.com/annonce/vente/toulon/maison/8pieces/iad-france-1989086?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,50.0,198500,3970.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1987469?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Beaulieu,63.0,94000,1492.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1986857?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,67.0,295000,4403.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/iad-france-1892648?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Brunet,65.0,165000,2538.0,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-GTIGPI-30976?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,La Loubière,42.0,155000,3690.0,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1984293?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Maison,Saint-Roch,110.0,359000,3264.0,https://www.bienici.com/annonce/vente/toulon/maison/4pieces/iad-france-1987715?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D25
Appartement,Le Mourillon - La Mitre - Fort Lamalgue,116.0,455000,3922.0,https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/ag832778-511559270?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D24
