source,date_annonce,date_crawl,titre,type_bien,type_achat,budget_max,surface_min,nb_pieces,quartier_souhaite,criteres,url,description
LeBonCoin,2026-02-16,2026-03-09,Appartement 4 pièces 95 m²,Appartement,Non précisé,599000,95 m²,4,Non précisé,,https://www.leboncoin.fr/ad/ventes_immobilieres/3145977768,
LeBonCoin,2026-02-25,2026-03-09,Appartement 2 pièces 58 m²,Appartement,Non précisé,169900,58 m²,2,Non précisé,,https://www.leboncoin.fr/ad/ventes_immobilieres/3151102909,
