source,date_crawl,type_bien,nb_pieces,surface_m2,prix,prix_m2,quartier,criteres,titre,url
LeBonCoin,2026-03-09,Appartement,2.0,42.0,189000,4500.0,,,Appartement 2 pices 42 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3055655258
LeBonCoin,2026-03-09,Appartement,3.0,71.0,405000,5704.0,,,Appartement 3 pices 71 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2882383178
LeBonCoin,2026-03-09,Appartement,2.0,48.0,164000,3417.0,,,Appartement 2 pices 48 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3158397380
LeBonCoin,2026-03-09,Appartement,2.0,52.0,121800,2342.0,,,Appartement 2 pices 52 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3113747323
LeBonCoin,2026-03-09,Appartement,2.0,49.0,234300,4782.0,,,Appartement 2 pices 49 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3099860619
LeBonCoin,2026-03-09,Appartement,3.0,59.0,249000,4220.0,,,Appartement 3 pices 59 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3016412637
LeBonCoin,2026-03-09,Appartement,5.0,82.0,193000,2354.0,,,Appartement 5 pices 82 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2956990584
LeBonCoin,2026-03-09,Appartement,2.0,37.0,180000,4865.0,,,Appartement 2 pices 37 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3148526109
LeBonCoin,2026-03-09,Appartement,1.0,21.0,155000,7381.0,,,Studio 1 pice 21 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3145870417
LeBonCoin,2026-03-09,Appartement,5.0,98.0,282000,2878.0,,,Appartement 5 pices 98 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3100080839
LeBonCoin,2026-03-09,Appartement,3.0,84.0,289000,3440.0,,,Appartement 3 pices 84 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3079250269
LeBonCoin,2026-03-09,Appartement,4.0,95.0,599000,6305.0,,,Appartement 4 pices 95 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3145977768
LeBonCoin,2026-03-09,Appartement,3.0,66.0,205000,3106.0,,"jardin/terrasse, vue mer, cave",Toulon Port Marchand T3 66m2 avec Balcon vue mer et cave,https://www.leboncoin.fr/ad/ventes_immobilieres/3135397628
LeBonCoin,2026-03-09,Appartement,2.0,47.0,185000,3936.0,,,Appartement 2 pices 47 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2972662479
LeBonCoin,2026-03-09,Appartement,3.0,74.0,143000,1932.0,,,Appartement 3 pices 74 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3138858798
LeBonCoin,2026-03-09,Appartement,3.0,70.0,109900,1570.0,,,Appartement en Viager 3 pices 70 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3136744296
LeBonCoin,2026-03-09,Appartement,3.0,86.0,370000,4302.0,,,Loft 3 pices 86 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3132609888
LeBonCoin,2026-03-09,Maison,11.0,201.0,949000,4721.0,,,Maison 11 pices 201 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3066145810
LeBonCoin,2026-03-09,Appartement,3.0,63.0,423000,6714.0,,,Appartement 3 pices 63 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3148494418
LeBonCoin,2026-03-09,Appartement,2.0,38.0,138000,3632.0,,parking/garage,Toulon la loubiere dans residence de 2014 - t2 avec parking sous sol,https://www.leboncoin.fr/ad/ventes_immobilieres/3143222175
LeBonCoin,2026-03-09,Appartement,2.0,45.0,97470,2166.0,,,Appartement 2 pices 45 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3136601556
LeBonCoin,2026-03-09,Appartement,4.0,96.0,345000,3594.0,,,Appartement 4 pices 96 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3087840194
LeBonCoin,2026-03-09,Appartement,4.0,66.0,230000,3485.0,,,Appartement 4 pices 66 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3043125115
LeBonCoin,2026-03-09,Appartement,3.0,64.0,299000,4672.0,,,Appartement 3 pices 64 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3085246618
LeBonCoin,2026-03-09,Appartement,6.0,90.0,299000,3322.0,,,Appartement 6 pices 90 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3106327639
LeBonCoin,2026-03-09,Appartement,5.0,72.0,314000,4361.0,,,Appartement 5 pices 72 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3095696264
LeBonCoin,2026-03-09,Appartement,3.0,74.0,290000,3919.0,,,Appartement 3 pices 74 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3154588943
LeBonCoin,2026-03-09,Appartement,2.0,39.0,144000,3692.0,,,Appartement 2 pices 39 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3123200218
LeBonCoin,2026-03-09,Appartement,3.0,56.0,315000,5625.0,,,Appartement 3 pices 56 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3115895521
LeBonCoin,2026-03-09,Appartement,3.0,35.0,119000,3400.0,,,Studio 3 pices 35 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3090719082
LeBonCoin,2026-03-09,Appartement,2.0,44.0,137000,3114.0,,,Appartement 2 pices 44 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3077939746
LeBonCoin,2026-03-09,Appartement,3.0,68.0,278800,4100.0,,,Appartement 3 pices 68 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3072310866
LeBonCoin,2026-03-09,Appartement,4.0,78.0,369000,4731.0,,,Appartement 4 pices 78 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3003385786
LeBonCoin,2026-03-09,Appartement,5.0,79.0,217000,2747.0,claret,,T5 - TOULON secteur claret,https://www.leboncoin.fr/ad/ventes_immobilieres/3146041095
LeBonCoin,2026-03-09,Appartement,4.0,87.0,226000,2598.0,,,Appartement 4 pices 87 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3028399150
LeBonCoin,2026-03-09,Appartement,5.0,113.0,279900,2477.0,,,Appartement 5 pices 113 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3025323933
LeBonCoin,2026-03-09,Appartement,3.0,60.0,345000,5750.0,,,Appartement 3 pices 60 m,https://www.leboncoin.fr/ad/ventes_immobilieres/3012087094
LeBonCoin,2026-03-09,Appartement,3.0,55.0,238500,4336.0,,,Appartement 3 pices 55 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2980002081
LeBonCoin,2026-03-09,Appartement,2.0,48.0,102000,2125.0,,,Appartement 2 pices 48 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2940804641
LeBonCoin,2026-03-09,Appartement,3.0,69.0,290000,4203.0,,,Appartement 3 pices 69 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2895227377
LeBonCoin,2026-03-09,Appartement,3.0,62.0,413000,6661.0,,,Appartement 3 pices 62 m,https://www.leboncoin.fr/ad/ventes_immobilieres/2868523297
